time,open,high,low,close,vwap,volume,count
2020-04-07 05:00:00,7316.70,7316.70,7316.70,7316.70,0.00,0.00000000,0
2020-04-07 06:00:00,7316.70,7316.70,7316.70,7316.70,0.00,0.00000000,0
2020-04-07 07:00:00,7316.70,7350.00,7316.70,7350.00,7350.00,0.80000000,14
2020-04-07 08:00:00,7350.00,7372.95,7316.02,7316.02,7331.53,2.68354000,13
2020-04-07 09:00:00,7374.59,7377.15,7362.14,7377.15,7372.56,0.13949455,5
2020-04-07 10:00:00,7377.15,7440.70,7377.15,7432.00,7435.99,0.94510485,9
2020-04-07 11:00:00,7432.00,7432.00,7370.00,7416.99,7390.47,0.28135292,11
2020-04-07 12:00:00,7435.89,7435.89,7350.51,7357.54,7370.49,0.49753727,8
2020-04-07 13:00:00,7357.54,7357.54,7357.54,7357.54,0.00,0.00000000,0
2020-04-07 14:00:00,7357.54,7357.54,7284.08,7284.31,7296.27,1.99214706,14
2020-04-07 15:00:00,7284.61,7323.23,7284.61,7323.23,7305.17,0.06431172,6
2020-04-07 16:00:00,7323.23,7402.50,7323.23,7402.50,7361.80,0.06806350,2
2020-04-07 17:00:00,7353.51,7353.51,7353.51,7353.51,7353.51,0.00203888,1
2020-04-07 18:00:00,7353.51,7353.51,7290.76,7301.01,7300.34,1.21037472,23
2020-04-07 19:00:00,7318.99,7324.49,7318.61,7323.92,7323.47,1.79920667,8
2020-04-07 20:00:00,7193.97,7213.30,7100.00,7166.80,7158.47,1.36405125,29
2020-04-07 21:00:00,7084.47,7223.55,7078.80,7219.60,7137.92,3.29404563,17
2020-04-07 22:00:00,7175.50,7202.00,7150.00,7202.00,7162.29,6.30101420,23
2020-04-07 23:00:00,7184.16,7185.00,7184.16,7185.00,7184.27,0.06007269,2
2020-04-08 00:00:00,7185.00,7185.00,7185.00,7185.00,0.00,0.00000000,0
2020-04-08 01:00:00,7185.00,7185.00,7173.14,7173.15,7173.14,0.04953902,2
2020-04-08 02:00:00,7173.15,7268.69,7173.15,7260.27,7265.03,0.12200139,2
2020-04-08 03:00:00,7297.25,7300.09,7297.25,7300.09,7298.48,0.14502311,7
2020-04-08 04:00:00,7300.09,7369.62,7300.09,7369.62,7356.98,0.52706368,5
2020-04-08 05:00:00,7353.09,7358.55,7353.09,7358.55,7354.32,0.03088205,2
2020-04-08 06:00:00,7358.55,7408.00,7351.49,7351.49,7384.65,0.11688006,2
2020-04-08 07:00:00,7320.09,7320.09,7320.09,7320.09,7320.09,0.04849804,2
2020-04-08 08:00:00,7320.09,7322.16,7299.03,7299.03,7310.66,0.11028248,6
2020-04-08 09:00:00,7299.41,7299.41,7299.41,7299.41,7299.41,0.45744957,2
2020-04-08 10:00:00,7299.41,7299.41,7292.00,7292.00,7292.00,0.00247098,1
2020-04-08 11:00:00,7292.00,7292.00,7275.03,7275.03,7275.03,0.00255807,1
2020-04-08 12:00:00,7275.03,7275.03,7270.06,7270.07,7270.06,0.10000000,2
2020-04-08 13:00:00,7270.07,7274.64,7270.07,7274.64,7274.64,0.45782941,15
2020-04-08 14:00:00,7227.30,7238.57,7224.00,7237.38,7232.85,1.26686576,8
2020-04-08 15:00:00,7237.38,7287.21,7237.38,7287.21,7287.21,0.00781893,1
2020-04-08 16:00:00,7247.86,7268.66,7247.83,7259.70,7259.98,1.94000000,9
2020-04-08 17:00:00,7322.92,7322.92,7297.70,7297.70,7304.29,1.18382004,7
2020-04-08 18:00:00,7298.75,7298.75,7296.21,7296.21,7296.63,0.68200000,4
2020-04-08 19:00:00,7296.21,7340.00,7296.21,7340.00,7340.00,0.09400000,3
2020-04-08 20:00:00,7340.00,7340.00,7340.00,7340.00,0.00,0.00000000,0
2020-04-08 21:00:00,7355.81,7373.47,7355.81,7373.47,7369.37,1.17643892,5
2020-04-08 22:00:00,7316.82,7355.83,7316.40,7355.83,7316.91,0.35900000,5
2020-04-08 23:00:00,7355.83,7355.83,7355.83,7355.83,0.00,0.00000000,0
2020-04-09 00:00:00,7355.83,7369.91,7355.83,7369.91,7362.30,0.01720868,2
2020-04-09 01:00:00,7369.91,7369.91,7369.91,7369.91,0.00,0.00000000,0
2020-04-09 02:00:00,7369.91,7369.91,7369.91,7369.91,0.00,0.00000000,0
2020-04-09 03:00:00,7369.91,7369.91,7369.91,7369.91,0.00,0.00000000,0
2020-04-09 04:00:00,7369.91,7369.91,7369.91,7369.91,0.00,0.00000000,0
2020-04-09 05:00:00,7369.91,7369.91,7369.91,7369.91,0.00,0.00000000,0
2020-04-09 06:00:00,7323.14,7323.14,7323.14,7323.14,7323.14,0.00682494,1
2020-04-09 07:00:00,7323.14,7334.00,7323.14,7334.00,7331.58,0.68000000,4
2020-04-09 08:00:00,7334.00,7334.00,7334.00,7334.00,0.00,0.00000000,0
2020-04-09 09:00:00,7334.00,7334.00,7334.00,7334.00,0.00,0.00000000,0
